"","acao","RMSE_AR","RMSE_SETAR","RMSE_LSTAR","MAE_AR","MAE_SETAR","MAE_LSTAR"
"1","AGX"," 2.461642       "," 2.449216       ","2.50896e+00     "," 1.702799        "," 1.692269        ","1.69490e+00      "
"2","AJX"," 2.192763       "," 2.056518       ","2.01599e+00     "," 1.599838        "," 1.464598        ","1.43675e+00      "
"3","ALR"," 5.267706       "," 5.483656       ","5.44694e+00     "," 3.435849        "," 3.490452        ","3.46812e+00      "
"4","AMC","11.102805       ","10.923792       ","1.40979e+01     "," 6.623156        "," 6.087860        ","6.22404e+00      "
"5","AMRC"," 4.054700       "," 4.041235       ","4.05988e+00     "," 2.831845        "," 2.834540        ","2.84106e+00      "
"6","ANET"," 2.588695       "," 2.605991       ","2.64882e+00     "," 1.974613        "," 1.987998        ","2.00168e+00      "
"7","APAM"," 2.422584       "," 2.496847       ","2.30218e+00     "," 1.891245        "," 1.903713        ","1.79656e+00      "
"8","APO"," 3.190511       "," 3.241617       ","3.53297e+00     "," 2.039761        "," 2.036426        ","2.09101e+00      "
"9","APTS-old"," 3.333015       "," 3.314371       ","3.31749e+00     "," 1.986616        "," 1.970240        ","1.97090e+00      "
"10","ASPN","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"11","AVNS","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"12","AWR"," 2.296731       "," 2.279105       ","1.82622e+14     "," 1.448674        "," 1.450196        ","6.01435e+12      "
"13","AXR"," 4.033479       "," 4.008446       ","4.01950e+00     "," 2.913154        "," 2.925038        ","2.93029e+00      "
"14","BDC"," 2.833725       "," 2.842106       ","2.86440e+00     "," 2.080952        "," 2.080749        ","2.07221e+00      "
"15","BDJ"," 4.615536       "," 6.012021       ","1.62369e+01     "," 2.956917        "," 3.540463        ","5.98167e+00      "
"16","BERY","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"17","BHR"," 4.207564       "," 3.983119       ","3.97502e+00     "," 2.869123        "," 2.790791        ","2.77765e+00      "
"18","BPT"," 3.818507       "," 3.832233       ","3.83691e+00     "," 2.837406        "," 2.854374        ","2.85683e+00      "
"19","BRX","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"20","BURL"," 2.623851       "," 2.607663       ","2.60253e+00     "," 1.822886        "," 1.827235        ","1.81092e+00      "
"21","BXC"," 3.537978       "," 3.627480       ","3.63390e+00     "," 2.601723        "," 2.605321        ","2.61989e+00      "
"22","CAL"," 4.475468       "," 4.336503       ","4.80195e+00     "," 2.936988        "," 2.941287        ","3.10711e+00      "
"23","CBZ"," 2.149944       "," 2.174493       ","2.19346e+00     "," 1.471443        "," 1.465449        ","1.46865e+00      "
"24","CHGG"," 5.545319       "," 5.668413       ","5.62342e+00     "," 2.989065        "," 3.001314        ","2.99229e+00      "
"25","CHMI","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"26","CLW"," 5.688021       "," 5.870111       ","5.86899e+00     "," 3.421007        "," 3.443059        ","3.44355e+00      "
"27","COR-old"," 1.425711       "," 1.381007       ","1.37772e+00     "," 1.029151        "," 0.996415        ","9.92355e-01      "
"28","CRD.A"," 3.364826       "," 3.375445       ","3.42980e+00     "," 2.333316        "," 2.334821        ","2.34888e+00      "
"29","CSR"," 2.412010       "," 2.393691       ","2.50392e+00     "," 1.601925        "," 1.596399        ","1.59138e+00      "
"30","CSV"," 2.537876       "," 2.547955       ","2.67827e+00     "," 1.793535        "," 1.778829        ","1.78393e+00      "
"31","CVEO","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"32","CW"," 5.170504       "," 5.269933       ","4.99537e+00     "," 4.090245        "," 4.155885        ","4.02396e+00      "
"33","CWEN"," 2.067894       "," 2.048557       ","1.93884e+00     "," 1.611819        "," 1.581063        ","1.50943e+00      "
"34","CWT"," 2.295692       "," 2.317859       ","2.30351e+00     "," 1.500284        "," 1.512217        ","1.50910e+00      "
"35","DBRG"," 2.533974       "," 2.477286       ","2.47262e+00     "," 1.921044        "," 1.881734        ","1.87709e+00      "
"36","DEA"," 1.628571       "," 1.586033       ","1.47728e+00     "," 1.233083        "," 1.186785        ","1.12002e+00      "
"37","DHX"," 4.203167       "," 4.245310       ","4.21803e+00     "," 2.894689        "," 2.897816        ","2.88253e+00      "
"38","DNOW"," 3.388024       "," 3.310139       ","3.31073e+00     "," 2.439116        "," 2.388513        ","2.38903e+00      "
